code,birthdate,subspecies,calving_date,lactation_number,experiment_start_date,days_in_milk_at_start,experiment_end_date,days_in_milk_at_end
2374,20-Dec-03,Holstein,9-Dec-05,1,29-Jan-06,51,5-Apr-06,117
2377,26-Dec-03,Holstein,26-Dec-05,1,29-Jan-06,34,5-Apr-06,100
2410,13-Jan-04,Holstein,13-Jan-06,1,29-Jan-06,16,5-Apr-06,82
2113,26-Feb-01,Holstein,16-Jan-06,3,29-Jan-06,13,5-Apr-06,79
2407,12-Jan-04,Holstein,30-Dec-05,1,29-Jan-06,30,5-Apr-06,96
2409,13-Jan-04,Holstein,8-Jan-06,1,29-Jan-06,21,5-Apr-06,87
2367,15-Dec-03,Holstein,20-Dec-05,1,29-Jan-06,40,5-Apr-06,106
2376,23-Dec-03,Holstein,2-Jan-06,1,29-Jan-06,27,5-Apr-06,93
